domain,fraction,fold,repeat,n_train,n_test,MAE,skill
movie,0.25,25,1,222,93,0.510752688172043,0.3061525286958815
movie,0.25,25,2,222,93,0.5053763440860215,0.3134561862885564
movie,0.5,25,0,444,93,0.5268817204301075,0.2842415559178567
movie,0.5,25,1,444,93,0.489247311827957,0.3353671590665812
movie,0.5,25,2,444,93,0.489247311827957,0.3353671590665812
movie,0.75,25,0,665,93,0.510752688172043,0.3061525286958815
movie,0.75,25,1,665,93,0.46774193548387094,0.3645817894372809
movie,0.75,25,2,665,93,0.543010752688172,0.26233058313983193
movie,1.0,25,0,887,93,0.46774193548387094,0.3645817894372809
movie,0.25,26,0,220,98,0.5306122448979592,0.35408275357012076
movie,0.25,26,1,220,98,0.5357142857142857,0.3478720108159874
movie,0.25,26,2,220,98,0.5867346938775511,0.2857645832746528
movie,0.5,26,0,441,98,0.5153061224489796,0.3727149818325213
movie,0.5,26,1,441,98,0.5255102040816326,0.36029349632425434
movie,0.5,26,2,441,98,0.5408163265306123,0.34166126806185393
movie,0.75,26,0,662,98,0.5357142857142857,0.3478720108159874
movie,0.75,26,1,662,98,0.5102040816326531,0.37892572458665463
movie,0.75,26,2,662,98,0.5153061224489796,0.3727149818325213
movie,1.0,26,0,882,98,0.4897959183673469,0.4037686956031885
movie,0.25,27,0,221,95,0.5,0.3565754431077236
movie,0.25,27,1,221,95,0.49473684210526314,0.3633483331802738
movie,0.25,27,2,221,95,0.4842105263157895,0.37689411332537437
movie,0.5,27,0,442,95,0.5052631578947369,0.34980255303517327
movie,0.5,27,1,442,95,0.4421052631578947,0.4310772339057767
movie,0.5,27,2,442,95,0.49473684210526314,0.3633483331802738
movie,0.75,27,0,664,95,0.45263157894736844,0.417531453760676
movie,0.75,27,1,664,95,0.45263157894736844,0.417531453760676
movie,0.75,27,2,664,95,0.4789473684210526,0.3836670033979247
movie,1.0,27,0,885,95,0.4368421052631579,0.4378501239783269
movie,0.25,28,0,218,108,0.44907407407407407,0.36195763683543536
movie,0.25,28,1,218,108,0.47685185185185186,0.3224910989077303
movie,0.25,28,2,218,108,0.46296296296296297,0.34222436787158284
movie,0.5,28,0,436,108,0.4398148148148148,0.37511314947800367
movie,0.5,28,1,436,108,0.44907407407407407,0.36195763683543536
movie,0.5,28,2,436,108,0.4351851851851852,0.3816909057992879
movie,0.75,28,0,654,108,0.42592592592592593,0.3948464184418562
movie,0.75,28,1,654,108,0.42592592592592593,0.3948464184418562
movie,0.75,28,2,654,108,0.4212962962962963,0.4014241747631404
movie,1.0,28,0,872,108,0.4074074074074074,0.42115744372699293
