target,source,music,protocol,fraction,fold,repeat,N,MAE,skill,spearman
movie,book,False,C,0.0,5,0,102,1.142156862745098,-0.36488217554909097,-0.14585661915879564
movie,book,False,C,0.25,5,0,102,0.6176470588235294,0.26190920978890353,0.6504911580179876
movie,book,False,C,0.5,5,0,102,0.5392156862745098,0.35563502441888406,0.7276272060216683
movie,book,False,C,1.0,5,0,102,0.5637254901960784,0.3263457073470152,0.7190828774726848
movie,tv+game,False,B,0.0,5,0,102,0.8872549019607843,-0.060273278001654385,0.1759676077038155
movie,tv+game,False,C,0.0,5,0,102,0.8872549019607843,-0.060273278001654385,0.1759676077038155
movie,tv+game,False,C,0.25,5,0,102,0.5931372549019608,0.2911985268607724,0.6334117545624075
movie,tv+game,False,C,0.5,5,0,102,0.553921568627451,0.3380614341757626,0.7059187094461494
movie,tv+game,False,C,1.0,5,0,102,0.5833333333333334,0.30291425368951996,0.6731074611666785
movie,tv+book,False,B,0.0,5,0,102,0.8333333333333334,0.004163219556457154,0.09071673659709296
movie,tv+book,False,C,0.0,5,0,102,0.8333333333333334,0.004163219556457154,0.09071673659709296
movie,tv+book,False,C,0.25,5,0,102,0.6715686274509803,0.197472712230792,0.5362890312860801
movie,tv+book,False,C,0.5,5,0,102,0.5441176470588235,0.3497771610045103,0.7165868080136123
movie,tv+book,False,C,1.0,5,0,102,0.5490196078431373,0.3439192975901364,0.7320530919124844
movie,game+book,False,B,0.0,5,0,102,0.9313725490196079,-0.11299404873101837,-0.08590680598249435
movie,game+book,False,C,0.0,5,0,102,0.9313725490196079,-0.11299404873101837,-0.08590680598249435
movie,game+book,False,C,0.25,5,0,102,0.6225490196078431,0.25605134637452975,0.5962815147505734
movie,game+book,False,C,0.5,5,0,102,0.5735294117647058,0.3146299805182676,0.6914858556891671
movie,game+book,False,C,1.0,5,0,102,0.5588235294117647,0.33220357076138896,0.7190910526324668
movie,tv+game+book,False,B,0.0,5,0,102,0.8137254901960784,0.02759467321395226,0.0955785100912706
movie,tv+game+book,False,C,0.0,5,0,102,0.8137254901960784,0.02759467321395226,0.0955785100912706
movie,tv+game+book,False,C,0.25,5,0,102,0.6274509803921569,0.250193482960156,0.5880873907792223
movie,tv+game+book,False,C,0.5,5,0,102,0.5490196078431373,0.3439192975901364,0.7197412614767041
movie,tv+game+book,False,C,1.0,5,0,102,0.553921568627451,0.3380614341757626,0.7213699438329203
movie,(target-only),False,A,1.0,6,0,102,0.7058823529411765,0.2471955605306404,0.6687511028196886
movie,tv,False,B,0.0,6,0,102,0.8235294117647058,0.12172815395241399,0.3889782208932987
movie,tv,False,C,0.0,6,0,102,0.8235294117647058,0.12172815395241399,0.3889782208932987
movie,tv,False,C,0.25,6,0,102,0.6813725490196079,0.27333460356777106,0.6976488077393469
movie,tv,False,C,0.5,6,0,102,0.6568627450980392,0.2994736466049016,0.7256339682765103
movie,tv,False,C,1.0,6,0,102,0.6911764705882353,0.26287898635291884,0.6823330796848023
movie,game,False,B,0.0,6,0,102,0.946078431372549,-0.008967061233238649,0.2162107446921234
movie,game,False,C,0.0,6,0,102,0.946078431372549,-0.008967061233238649,0.2162107446921234
