domain,fraction,fold,repeat,n_train,n_test,MAE,skill
movie,0.25,20,2,225,100,0.485,0.3076044541734082
movie,0.5,20,0,450,100,0.51,0.2719139621204911
movie,0.5,20,1,450,100,0.515,0.2647758637099077
movie,0.5,20,2,450,100,0.505,0.27905206053107456
movie,0.75,20,0,675,100,0.5,0.286190158941658
movie,0.75,20,1,675,100,0.525,0.2504996668887408
movie,0.75,20,2,675,100,0.505,0.27905206053107456
movie,1.0,20,0,900,100,0.51,0.2719139621204911
movie,0.25,21,0,225,100,0.49,0.31452553042667286
movie,0.25,21,1,225,100,0.5,0.30053625553742125
movie,0.25,21,2,225,100,0.5,0.30053625553742125
movie,0.5,21,0,450,100,0.53,0.2585684308696665
movie,0.5,21,1,450,100,0.545,0.2375845185357892
movie,0.5,21,2,450,100,0.54,0.2445791559804149
movie,0.75,21,0,675,100,0.535,0.2515737934250407
movie,0.75,21,1,675,100,0.52,0.27255770575891813
movie,0.75,21,2,675,100,0.525,0.2655630683142923
movie,1.0,21,0,900,100,0.53,0.2585684308696665
movie,0.25,22,0,225,100,0.545,0.3190904547726138
movie,0.25,22,1,225,100,0.55,0.3128435782108946
movie,0.25,22,2,225,100,0.565,0.29410294852573726
movie,0.5,22,0,450,100,0.545,0.3190904547726138
movie,0.5,22,1,450,100,0.54,0.32533733133433285
movie,0.5,22,2,450,100,0.525,0.3440779610194903
movie,0.75,22,0,675,100,0.515,0.35657171414292865
movie,0.75,22,1,675,100,0.58,0.2753623188405798
movie,0.75,22,2,675,100,0.575,0.281609195402299
movie,1.0,22,0,900,100,0.555,0.3065967016491754
movie,0.25,23,0,225,100,0.52,0.3842591374365181
movie,0.25,23,1,225,100,0.515,0.39017972265347467
movie,0.25,23,2,225,100,0.46,0.4553061600399967
movie,0.5,23,0,450,100,0.425,0.49675025655869265
movie,0.5,23,1,450,100,0.485,0.42570323395521403
movie,0.5,23,2,450,100,0.43,0.49082967134173616
movie,0.75,23,0,675,100,0.41,0.5145120122095623
movie,0.75,23,1,675,100,0.495,0.41386206352130084
movie,0.75,23,2,675,100,0.46,0.4553061600399967
movie,1.0,23,0,900,100,0.46,0.4553061600399967
movie,0.25,24,0,225,100,0.585,0.26907485561972455
movie,0.25,24,1,225,100,0.555,0.3065581963571745
movie,0.25,24,2,225,100,0.55,0.31280541981341614
movie,0.5,24,0,450,100,0.545,0.3190526432696579
movie,0.5,24,1,450,100,0.54,0.3252998667258995
movie,0.5,24,2,450,100,0.49,0.3877721012883163
movie,0.75,24,0,675,100,0.485,0.3940193247445579
movie,0.75,24,1,675,100,0.49,0.3877721012883163
movie,0.75,24,2,675,100,0.49,0.3877721012883163
movie,1.0,24,0,900,100,0.525,0.3440415370946245
movie,0.25,25,0,225,100,0.465,0.37190454750112556
movie,0.25,25,1,225,100,0.44,0.4056731202161188
movie,0.25,25,2,225,100,0.525,0.29085997298514177
movie,0.5,25,0,450,100,0.455,0.3854119765871229
movie,0.5,25,1,450,100,0.495,0.33138226024313366
movie,0.5,25,2,450,100,0.47,0.365150832958127
movie,0.75,25,0,675,100,0.45,0.39216569113012156
movie,0.75,25,1,675,100,0.45,0.39216569113012156
movie,0.75,25,2,675,100,0.46,0.3786582620441242
movie,1.0,25,0,900,100,0.45,0.39216569113012156
movie,0.25,26,0,225,100,0.5,0.32789676494309505
movie,0.25,26,1,225,100,0.535,0.28084953848911165
movie,0.25,26,2,225,100,0.525,0.29429160319024983
movie,0.5,26,0,450,100,0.51,0.314454700241957
movie,0.5,26,1,450,100,0.445,0.4018281207993546
movie,0.5,26,2,450,100,0.51,0.314454700241957
movie,0.75,26,0,675,100,0.45,0.3951070884487855
movie,0.75,26,1,675,100,0.475,0.3615019266959404
movie,0.75,26,2,675,100,0.475,0.3615019266959404
movie,1.0,26,0,900,100,0.49,0.3413388296442331
movie,0.25,27,0,225,100,0.555,0.28406598919290793
movie,0.25,27,1,225,100,0.595,0.23246714156717163
movie,0.25,27,2,225,100,0.59,0.23891699752038875
movie,0.5,27,0,450,100,0.575,0.2582665653800399
movie,0.5,27,1,450,100,0.57,0.2647164213332569
movie,0.5,27,2,450,100,0.565,0.271166277286474
movie,0.75,27,0,675,100,0.565,0.271166277286474
movie,0.75,27,1,675,100,0.55,0.29051584514612494
movie,0.75,27,2,675,100,0.565,0.271166277286474
movie,1.0,27,0,900,100,0.585,0.24536685347360576
movie,0.25,28,0,225,100,0.51,0.3590817694369973
movie,0.25,28,1,225,100,0.465,0.4156333780160858
movie,0.25,28,2,225,100,0.49,0.3842158176943701
movie,0.5,28,0,450,100,0.535,0.3276642091152815
movie,0.5,28,1,450,100,0.5,0.3716487935656837
movie,0.5,28,2,450,100,0.505,0.3653652815013405
movie,0.75,28,0,675,100,0.5,0.3716487935656837
movie,0.75,28,1,675,100,0.525,0.34023123324396787
movie,0.75,28,2,675,100,0.53,0.3339477211796247
movie,1.0,28,0,900,100,0.525,0.34023123324396787
movie,0.25,29,0,225,100,0.45,0.4
movie,0.25,29,1,225,100,0.475,0.3666666666666667
movie,0.25,29,2,225,100,0.465,0.38
movie,0.5,29,0,450,100,0.5,0.33333333333333337
movie,0.5,29,1,450,100,0.49,0.3466666666666667
movie,0.5,29,2,450,100,0.485,0.3533333333333334
movie,0.75,29,0,675,100,0.485,0.3533333333333334
movie,0.75,29,1,675,100,0.465,0.38
movie,0.75,29,2,675,100,0.455,0.3933333333333333
movie,1.0,29,0,900,100,0.475,0.3666666666666667
movie,0.25,30,0,225,100,0.54,0.25430386350385115
movie,0.25,30,1,225,100,0.525,0.2750176450731887
movie,0.25,30,2,225,100,0.43,0.40620492834565936
movie,0.5,30,0,450,100,0.465,0.3578727713505385
movie,0.5,30,1,450,100,0.495,0.3164452082118636
movie,0.5,30,2,450,100,0.45,0.378586552919876
movie,0.75,30,0,675,100,0.465,0.3578727713505385
movie,0.75,30,1,675,100,0.42,0.420014116058551
movie,0.75,30,2,675,100,0.45,0.378586552919876
movie,1.0,30,0,900,100,0.455,0.37168195906343016
movie,0.25,31,0,225,100,0.565,0.2961548044182378
movie,0.25,31,1,225,100,0.535,0.3335271156880658
movie,0.25,31,2,225,100,0.54,0.3272983971430945
movie,0.5,31,0,450,100,0.51,0.3646707084129226
movie,0.5,31,1,450,100,0.49,0.38958558259280796
movie,0.5,31,2,450,100,0.51,0.3646707084129226
movie,0.75,31,0,675,100,0.5,0.3771281455028652
movie,0.75,31,1,675,100,0.49,0.38958558259280796
movie,0.75,31,2,675,100,0.515,0.35844198986795117
movie,1.0,31,0,900,100,0.52,0.35221327132297986
movie,0.25,32,0,225,100,0.51,0.38407450148949285
